,oritext,norm,sentiment
16,"USER USER Kalo kejadian disini, mungkin juga kalian yg triak paling lantang ""pmrth pro aseng"" duluan pas ditawari bantuan asing. Bikin posko ini itu yg intinya malah ngomporin keluarga korban sue pmrth. Bilang 15 hari kelamaan, harusnya 3",user user kejadian disini triak lantang pmrth profesional aseng duluan pas ditawari bantuan asing bikin posko intinya ngomporin keluarga korban sue pmrth bilang 15 hari kelamaan harusnya 3,negative
17,"USER USER Mari berjuang....sampai #Jokowi dilanti kembali di thn 2019.\nJangan gentar !\nJangan takut !\nWalau mata benang di leher, walau ujung tombak di porut !!\n\nTidak akan surut langkah kita,\nTidak akan bisu suara kita,\nTidak akan",user user mari berjuang jokowi dilanti tahun 2019 njangan gentar njangan takut nwalau mata benang leher ujung tombak porut ntidak surut langkah ntidak bisu suara ntidak,negative
18,RT USER: USER USER USER USER USER USER kaya monyet',user user user user user user user kaya monyet,negative
19,Survei di Metro TV Jokowi menang dari Presiden Baru; Etapi cara ngitungnya gimana ya 45% bisa ngalahin 46%; Jangan2 salah judul maksudnya Jokowi Masih Menangis; ; Sumber : Zie Bajrie,survei metro tv jokowi menang presiden etapi cara ngitungnya iya 45 ngalahin 46 jangan2 judul maksudnya jokowi menangis sumber zie bajrie,negative
20,USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER,user user user user user user user user user user user user user user user user user user user user user user user,neutral
21,"Cuba la tgk anime ni, Karakai Jozu No Takagi-san, kalau rasa nak feeling feeling cinta monyet zaman sekolah..memang throwback habes..9/10 URL",cuba lah tgk anime karakai jozu nomor takagi san rasa nak feeling feeling cinta monyet zaman sekolah throwback habes 9 10 url,positive
22,Serunya Pesta Budaya Erau di Kutai Kartanegara!,serunya pesta budaya erau kutai kartanegara,positive
23,RT USER: ad yang mau contactnya? Retweet sekarang ya.....\nBanyak banget kenalan tante jilboob sange..\nIni Namanya Tante dea... O\xe2\x80\xa6',user contactnya retweet iya nbanyak banget kenalan tante jilboob sange nini namanya tante dea o xe2 x80 xa6,positive
24,"Debat Publik bukan ajang pembuktian siapa pintar atau sebaliknya, juga bukan ruang akademik untuk pamer siapa paling ciamik. Setiap orang punya kekuatan dan kelemahan, bukan hanya soal dirinya, itu egosentris namanya. Ini lebih pada soal kekuatan menahan l",debat publik bukan ajang pembuktian pintar bukan ruang akademik pamer ciamik orang punya kekuatan kelemahan bukan soal egosentris namanya soal kekuatan menahan l,negative
25,Duduki Istana Negara !! Sekalian Lengserkan Jokowi Salam2Tahun USER,duduki istana negara lengserkan jokowi salam2tahun user,negative
26,RT USER Wah hebatnya pak USER.... Yg lg sibuk pencitraan... USER.. USER.. USER ..USER.... BACA NIH,user hebatnya pak user sibuk pencitraan user user user user baca,negative
27,"USER bagi anda mungkin gk apa2, tapi bagi kami Muslim ini sangat menghinakan kami. Iblis betina itu sdh menista syariat kami'",user tidak apa2 muslim menghinakan iblis betina menista syariat,negative
28,RT USER baby kafir budha teroris myanmar,user baby kafir budha teroris myanmar,negative
29,Indonesia Blom Merdeka Indonesia Masih Dijajah Oleh Orang Cina !!! TakbirAllauakbar URL,indonesia blom merdeka indonesia dijajah orang cina takbirallauakbar url,negative
30,"memang benar kata pengamat politik Hantayudha ...kalau paslon no.2 ini tidak ada "" khanZ"" nya di Jateng .; ; #JatengGayeng ; #2019TetapJokowi",benar pengamat politik hantayudha paslon nomor 2 tidak khanz jateng jatenggayeng 2019tetapjokowi,neutral
31,RT USER USER jongos penista agama ahok sok sok ngong SARA.majikan nya penebar SARA astagfirllah. Tobat,user user jongos penista agama ahok sok sok ngong sara majikan penebar sara astagfirllah tobat,negative
32,USER USER USER USER Boleh saya follow bli juga? Saya katolik dan ikut akun prof USER utk menambah wawasan berbangsa...terima kasih',user user user user boleh follow bli katolik ikut akun prof user menambah wawasan berbangsa terima kasih,neutral
33,USER Kapan tuh si BEJAT CABUL USER balik ? Pengecut si Onta itu ye...',user si bejat cabul user balik pengecut si onta ye,negative
34,"Menurut Wibisono, pencitraan Jokowi telah disebarkan up media massa pro asing, sehingga terkesan Jokowi berhasil.",wibisono pencitraan jokowi disebarkan up media massa profesional asing terkesan jokowi berhasil,negative
35,RT USER: USER USER adian gaya lu kaya beruk. Gini klo supir tembak metromini masuk dpr.\nKampungan lu.',user user user adian gaya kaya beruk supir tembak metromini masuk dpr nkampungan,negative
36,"USER USER.. Km terlalu mainstream mengaartikan ""pintar"". Pintar itu relatif tergantung mo dibawa kemana pengertiannya. Spt anda pintar meng-undeeestimate-kan org. Gw pinter komen ajah. Rejim now pinter mangkrakin janji2 doang. So...making",user user mainstream mengaartikan pintar pintar relatif tergantung dibawa kemana pengertiannya pintar meng undeeestimate kan orang pinter komen ajah rejim now pinter mangkrakin janji2 so making,negative
37,USER Kan emang gw dongo',user kan dongo,negative
38,USER USER ih masak di samain smaa sampah \xf0\x9f\x98\xa3\xf0\x9f\x98\xa3\xf0\x9f\x98\xa3',user user ih masak samain smaa sampah xf0 x9f x98 xa3 xf0 x9f x98 xa3 xf0 x9f x98 xa3,negative
39,USER USER USER USER Gw terpukaukaukau #2019GantiPresiden,user user user user terpukaukaukau 2019gantipresiden,negative
40,"Aspirasi Ibu Lina dari Sumedang kepada Calon Gubernur Jabar: ""Berantas Pelakor yang sdh meresahkan kehidupan warga desa"". :)",aspirasi ibu lina sumedang calon gubernur jabar berantas pelakor meresahkan kehidupan desa,neutral
41,"USER USER USER USER USER Yaaelah chat aja loe urusin,, noh yg dah keliatan mesum anggotaDPR pd mingkem,, yg nyata selingkuh 7th kalian pura2 budek,,, #bong200 gk nyampe otaknya...'",user user user user user yaaelah chat urusin noh deh kelihatan mesum anggotadpr mingkem nyata selingkuh 7th pura2 budek bong200 tidak nyampe otaknya,negative
42,USER Tu yang saya katakan sejak dulu lagi kita tak takut dgn cina atau parti Dap tapi kita bimbang fahaman yang dibawa oleh mereka....',user tu katakan tidak takut cina parti dap bimbang fahaman dibawa,negative
43,"""Cermin pun pecah saat dirinya berkaca""; ;",cermin pecah berkaca,negative
44,"USER Lansung tag partainya...\nGa berani ya, berarti kau BANCI....'",user lansung tag partainya nga berani iya berarti banci,negative
45,Awwww comel nya asing kan ikut warna',awwww comel asing kan ikut warna,negative
46,"Islam menjadikan manusia yang idealis namun tetap realistis. Mempersiapkan kehidupan masa kini, namun tak lupa masa depan. Diajak bekerja keras, dan diajak pula beristirahat.",islam menjadikan manusia idealis realistis mempersiapkan kehidupan masa tidak lupa masa diajak bekerja keras diajak beristirahat,positive
47,USER KRISTUS ANJING ASU JIAMPUT KEPARAT PICEK TELEK PEJUH SIWUK KOTANG SIWUK IDIOT KEPARAT PICEK TELEK PEJUH SIWUK KOTANG SIWUK IDIOT KEPARAT PICEK TELEK PEJUH SIWUK KOTANG SIWUK IDIOT KEPARAT PICEK TELEK PEJUH SIWUK KOTANG SIWUK IDIOT KEPARAT PICEK TELEK PEJUH SIWUK K,user kristus anjing asu jiamput keparat picek telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk,negative
48,"USER Agama katholik ngak ada yg menyebut khatolik nusantara, agama kristen protestan ngak ada yg menyebut kristen protestan nusantara, agama hindu ngak ada yg menyebut hindu nusantara, agama budha ngak ada yg menyebut budha nusantara, ...lha kok ini",user agama katholik ngak menyebut khatolik nusantara agama kristen protestan ngak menyebut kristen protestan nusantara agama hindu ngak menyebut hindu nusantara agama budha ngak menyebut budha nusantara lha,negative
49,"3. Karena berbasis teknologi digital, Presiden juga minta sistem betul-betul jalan, dan langsung bisa digunakan dan ramah bagi pengguna. #ratas",3 berbasis teknologi digital presiden minta sistem betul betul jalan digunakan ramah pengguna ratas,positive
50,USER USER Ahhh itu kan perasaanmu saja utk menghibur diri.. mana ada cebong tdk bahagia.. presiden cebong punya... tol cebong punya... lha elo? Punya cuma germo \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',user user ahhh kan perasaanmu menghibur cebong tidak bahagia presiden cebong punya tol cebong punya lha punya germo xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82,negative
51,"Kami lebih resah anda jd presiden!!!! hidup anda penuh drama dan pencitraan, main FTV aja joko judulnya URL",resah presiden hidup penuh drama pencitraan main ftv joko judulnya url,negative
52,Agama: Kristen\nGolongan Darah: B\nAsal : San Fernando Valley',agama kristen ngolongan darah b nasal san fernando valley,negative
53,Budha bunuh muslim di myanmar,budha bunuh muslim myanmar,negative
54,USER jahudi bangke minta sama jerman sana tempat ibadah',user jahudi bangke minta jerman ibadah,neutral
55,PapaMintaKetuaFraksi rakyat mau nya setya novanto keluar dari dpr bukan di pecat dari ketua dpr percuma saya di pecat dan masih ada di dpr,papamintaketuafraksi rakyat setya novanto keluar dpr bukan pecat ketua dpr pecat dpr,neutral
56,USER USER USER USER Cina',user user user user cina,negative
57,USER Hoax...; Kodok...; Biawak....; meroket...; sekop...; Bangsat...; Karbitan...; Munafik...; ; #2019GantiPresiden; #2019PresidenBaru; ; #2019TenggelamkanJokowiKesungaiSiak,user isu bohong kodok biawak meroket sekop bangsat karbitan munafik 2019gantipresiden 2019presidenbaru 2019tenggelamkanjokowikesungaisiak,negative
58,Itu yg pada ribut komunis blabla mungkin emoh baca. Yg baca pun kalo punya niat agitasi nyerang pemerintah pake ini cari simpatisan,ribut komunis blabla emoh baca baca punya niat agitasi serang pemerintah pakai cari simpatisan,negative
59,10.Presiden Jokowi berharap skema kerja sama ini juga dapat dilakukan di dalam pembangunan-pembangunan lainnya.â?¦â?¦â?¦,10 presiden jokowi berharap skema kerja pembangunan pembangunan,neutral
60,"pemilu langsung biar bwt milih presiden n dpr sj; capres pun biar tdk kyk kucing dlm karung, ; mgkn bisa bikin mekanisme baru yg lebih ok,; misal capres ditentukan dari gubernur yg berprestasi, jd yg boleh maju jd capres hanya yg sdh jd gubernur,",pemilihan umum biar milih presiden dpr capres biar tidak kucing karung bikin mekanisme ok misal capres ditentukan gubernur berprestasi boleh maju capres gubernur,negative
61,"USER Gak vital gimana?udah dari kapan inter gak punya bek kanan yg bisa jd pembeda, terakhir itu ya era maicon, D'ambrosio juga baru2 setelah kedatangan cancelo bagusnya...\nHmmmm,,,berarti kesimpulannya yg geblek ausilio ini... \xf0\x9f\x98\x81\xf0",user tidak vital inter tidak punya bek kanan pembeda terakhir iya era maicon ambrosio baru2 kedatangan cancelo bagusnya nhmmmm berarti kesimpulannya geblek ausilio xf0 x9f x98 x81 xf0,negative
62,USER Namanya jg agama munafik...',user namanya agama munafik,negative
63,43. Contoh lain: meski banyak tudingan dugaan korupsi tapi SBY tdk pernah dorong kejaksaan usut. Apalagi himbau KPK usut dugaan korupsi Jokowi,43 contoh tudingan dugaan korupsi sby tidak dorong kejaksaan usut himbau kpk usut dugaan korupsi jokowi,negative
64,Saya mencium bau bau pecun URL,mencium bau bau pecun url,negative
65,"Berhenti jadi konsumen wisata Haji & Umoh yg menipu, jadilah podusen wisata jiarah Indonesia",berhenti konsumen wisata haji umoh menipu jadilah podusen wisata jiarah indonesia,negative
66,Pemburu Nazi Simon Wiesenthal memegang foto-foto yang menggambarkan mantan kepala Gestapo Walter Rauff dan sebuah van kamar gas bergerak yang dibuatnya untuk mengeksekusi orang-orang Yahudi.',pemburu nazi simon wiesenthal memegang foto foto menggambarkan mantan kepala gestapo walter rauff van kamar gas bergerak dibuatnya mengeksekusi orang orang yahudi,negative
67,"RT USER USER Yg ada, cacimaki penista agama tapi ternyata ketauan poligami ngumpet2. Apa mau digituin? Saya sih ogah.",user user cacimaki penista agama ketahuan poligami ngumpet2 digituin sih tidak,negative
68,USER Bubarin nkri harga mati,user bubarkan nkri harga mati,negative
69,"USER Ingat baik-baik kata si royson, ""jokowi kacung gua..!""\n\nItulah mungkin alasan fundamentalnya kenapa rezim ini justru seperti sengaja masuk ke dalam ""Debt Trap"" KOMUNIS CINA!\n\nSo, menjadi wajib untuk #2019GantiPresiden!'",user ingat si royson jokowi kacung nitulah alasan fundamentalnya rezim sengaja masuk debt trap komunis cina nso wajib 2019gantipresiden,negative
70,USER USER WKWKWKWK MAMPUS. aku mau pepet ujin ah',user user wkwkwkwk mampus pepet ujin ah,negative
71,Gubernur jaman now ya anti hoax bukan nyebar isu yang tidak pasti #GanjarYasinMenang #GanjarYasin1 #KamiGanjarYasin,gubernur jaman now iya anti isu bohong bukan nyebar isu tidak ganjaryasinmenang ganjaryasin1 kamiganjaryasin,negative
72,Azan di TV manggil2 Allah SWT dungu & biadab harus dihentikan dan acara catut nama Tuhan tidak boleh dilanjutkan,azan tv manggil2 allah swt bodoh biadab dihentikan acara catut nama tuhan tidak boleh dilanjutkan,negative
73,USER USER USER USER Semua itu terdapat pada kelakuan bani CEBONG....',user user user user terdapat kelakuan bani cebong,negative
74,Aku dah la baju macam yahudi betopi siap. 4 bas tu geng semua jubah putih kopiah minyak atar bejanggut dahi belekuk bak ahli syurga siap. Ni betol2 out of place. Mohon ak tak direjam',deh lah baju yahudi betopi siap 4 bas tu geng jubah putih kopiah minyak atar bejanggut dahi belekuk bak ahli syurga siap betol2 out of place mohon tidak direjam,negative
75,USER Gua ge akan marah. Cuma auto blacklist dari kehidupan gue.\n\nSampah apa gunanya kalo ga didaur ulang?',user ge marah auto blacklist kehidupan nsampah gunanya tidak didaur ulang,negative
76,USER USER Anjir apa rasanyaa bekas silit mah',user user anjing rasanyaa bekas silit mah,negative
77,USER USER Cebong makin kepanasan jadi makin ngawur. \xf0\x9f\x98\x95\xf0\x9f\x98\x95',user user cebong kepanasan berbicara sembarangan xf0 x9f x98 x95 xf0 x9f x98 x95,negative
78,amin smoga kalian bertiga bisa jd menampilkan yang terbaik dan menyumbangan medali buat sumsel,amin smoga bertiga menampilkan terbaik menyumbangan medali sumsel,positive
79,USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER,user user user user user user user user user user user user user user user user user user user user,neutral
80,"#GubernurZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 RT USER: ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,â?? tutur Djarot di hadapan peserta Rakercabsuâ?¦",gubernurzamannow gusipulputi2 ganjaryasin1 djarotsihar2 hasananton2 kosterace1 nurdinsudirman3 karolingidot2 user keanekaragaman budaya suku agama sesungguhnya kekayaan tutur djarot hadapan peserta rakercabsu,negative
81,"Sudah jangan terlalu banyak membingkai bangkai, cukup menjadikannya pelajaran saja, agar hidup kita semakin baik pada masa yang akan datang.'",jangan membingkai bangkai menjadikannya pelajaran hidup masa datang,negative
82,USER edan aq yang masi newbie menangis saja liatnya yampun kartu R w aja masi dikit bat',user gila masi newbie menangis liatnya yampun kartu r w masi dikit bat,negative
83,Nah..klo PKI alias Partai Korupsi Indonesia perlu diganyang juga ga?,pki alias partai korupsi indonesia diganyang tidak,negative
84,"perempuan kaya lo mending mati aja deh, jelek aja, gausa sok jadi make up artist!",perempuan kaya mati deh jelek gausa sok make up artist,negative
85,dijual lagi gua kaya jablay',dijual kaya jarang dibelai,negative
86,"USER USER Yang bijak cuma petugas dan jajaran krl doang, para penumpang cuma followers doang \xe2\x98\xb9\xef\xb8\x8f nyuruh orng utk mengerti, sendirinya ga mau mengerti kebutuhan banyak orng. Kan bangke..'",user user bijak petugas jajaran krl penumpang followers xe2 x98 xb9 xef xb8 x8f nyuruh orng mengerti tidak mengerti kebutuhan orng kan bangke,negative
87,"USER kyknya itu titit nya di sambung, trus pake accessoris jg'",user kyknya titit sambung pakai accessoris,neutral
88,USER Mata w pas kecil sipit tp skrg malah engga. Aneh pisan',user mata w pas sipit tidak aneh,negative
89,Ko ingt aku buat banci ke gigih nk kira URL,ko ingt banci gigih nk kira url,negative
90,MEWASPADAI CINA KOMUNIS YANG ADA DI INDONESIA!,mewaspadai cina komunis indonesia,negative
91,USER Banci kampungan HEEEE!!!',user banci kampungan heeee,negative
92,USER Gembel ganteng ga perlu dikasihani karena byk yg mencintainya. Asik asik jos',user gembel ganteng tidak dikasihani mencintainya asik asik jos,negative
93,dekalarasi pilkada 2018 aman dan anti hoax Toga jemirahan jabon,dekalarasi pemilihan kepala daerah 2018 aman anti isu bohong toga jemirahan jabon,negative
94,Setiausaha Agung Pas Datuk Takiyuddin Hassan sahkan ada pihak cuba pinda perlembagaan parti ini seperti yang dikatakan Presiden parti sebelum ini.,setiausaha agung pas datuk takiyuddin hassan sahkan pihak cuba pinda perlembagaan parti dikatakan presiden parti,neutral
